"X","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","Ozone_8hr_avg","PM2.5_MO_24hr_avg","PM2.5_FEM_24hr_avg","CO_8hr_avg","PM2.5MO_SubIndex","PM2.5FEM_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","X03_SubIndex","CO_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","AQI_bucket_calculated","AQI_calculated_where","AQI_Cause","mPM","mNO2","mWS","mWD","DOW","weekday","month","AQ_cat"
0,"Seattle 10th & Weller",2014-05-21,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.575,0.4115,0,14.8958333333333,0,37.9166666666667,0,4.67613636363636,0,0,0,15,5229,2666,2563,1518,729,789,0,"Good","PM2.5FEM_SubIndex","PM2.5",9.1,NA,NA,NA,4,"Wed","%b","less"
1,"Seattle 10th & Weller",2014-05-22,NA,NA,NA,NA,NA,8.33636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31912878787879,0.708805681818182,0,30.3402317163047,0,34.0166959292496,0,8.05461002066116,0,0,0,30.3181818181818,4910,2473,2437,1551,756,795,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.33636363636364,NA,NA,NA,5,"Thu","%b","less"
2,"Seattle 10th & Weller",2014-05-23,NA,NA,NA,NA,NA,6.59166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4890625,0.686490520050125,0,39.4669033639326,0,27.4652777777778,0,6.17581433757215,0,0,0,39.4583333333333,2556,1308,1248,751,359,392,3.14,"Good","PM2.5FEM_SubIndex","PM2.5",6.59166666666667,NA,NA,NA,6,"Fri","%b","less"
4,"Seattle 10th & Weller",2014-05-25,NA,NA,NA,NA,NA,6.10416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18902475845411,0.377032589285714,0,25.5869413765265,0,25.4340277777778,0,4.28446124188311,0,0,0,25.5833333333333,1234,670,564,366,186,180,0.6,"Good","PM2.5FEM_SubIndex","PM2.5",6.10416666666667,NA,NA,NA,1,"Sun","%b","less"
5,"Seattle 10th & Weller",2014-05-26,NA,NA,NA,NA,NA,4.19583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30047554347826,0.457712301587301,0,17.9186480978261,0,17.4826388888889,0,5.20127615440115,0,0,0,17.9166666666667,2289,1260,1029,652,323,329,4.606666667,"Good","PM2.5FEM_SubIndex","PM2.5",4.19583333333333,NA,NA,NA,2,"Mon","%b","less"
6,"Seattle 10th & Weller",2014-05-27,NA,NA,NA,NA,NA,4.76666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60538194444444,0.622191939484127,0,23.3557581018519,0,19.8611111111111,0,7.07036294868326,0,0,0,23.4166666666667,5032,2562,2470,1482,722,760,0,"Good","PM2.5FEM_SubIndex","PM2.5",4.76666666666667,NA,NA,NA,3,"Tue","%b","less"
7,"Seattle 10th & Weller",2014-05-28,NA,NA,NA,NA,NA,6.92173913043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13597318717829,0.46087849378882,0,21.3998882799095,0,28.7785345524663,0,5.23725561123659,0,0,0,21.3478260869565,4008,2078,1930,1061,507,554,0,"Good","PM2.5FEM_SubIndex","PM2.5",6.92173913043478,NA,NA,NA,4,"Wed","%b","less"
8,"Seattle 10th & Weller",2014-05-29,NA,NA,NA,NA,NA,9.36086956521739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44811823337343,0.415876496598639,0,14.3671593057226,0,38.8180319711389,0,4.31492412478825,0,0,0,14.3913043478261,4587,2300,2287,1353,651,702,0.09,"Good","PM2.5FEM_SubIndex","PM2.5",9.36086956521739,NA,NA,NA,5,"Thu","%b","less"
9,"Seattle 10th & Weller",2014-05-30,NA,NA,NA,NA,NA,8.25416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31573204874835,0.480314330357143,0,17.9822168697848,0,34.3923611111111,0,5.45811739042208,0,0,0,17.9166666666667,4869,2437,2432,1477,732,745,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.25416666666667,NA,NA,NA,6,"Fri","%b","less"
10,"Seattle 10th & Weller",2014-05-31,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64152236652237,0.470508854166666,0,15.1730098605099,0,42.7237571530758,0,5.34669152462121,0,0,0,15.1666666666667,2887,1609,1278,1104,541,563,0,"Good","PM2.5FEM_SubIndex","PM2.5",10.6,NA,NA,NA,7,"Sat","%b","less"
11,"Seattle 10th & Weller",2014-06-01,NA,23.3566666666667,NA,NA,NA,9.95,NA,NA,NA,NA,231.375,NA,NA,4.83333333333333,NA,NA,3.88064819389548,0.364218601190476,0,16.1693674745645,0,39.5433953266571,0,4.13884774080086,0,21.9965989882417,0,26.625,2601,1438,1163,844,417,427,0,"Good","NO2_SubIndex","NO2",9.95,23.3566666666667,4.83333333333333,231.375,1,"Sun","%b","less"
12,"Seattle 10th & Weller",2014-06-02,NA,31.1211764705882,NA,NA,NA,13.8227272727273,NA,NA,NA,NA,227.458333333333,NA,NA,4.49583333333333,NA,NA,5.57980072463768,0.522857061688311,0,23.2491696859903,0,48.5179721030043,0,5.44642772591991,0,20.7963836477987,0,28.8333333333333,4914,2427,2487,1347,660,687,0,"Good","PM2.5FEM_SubIndex","PM2.5",13.8227272727273,31.1211764705882,4.49583333333333,227.458333333333,2,"Mon","%b","less"
