,Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
0,2022-08-01 00:00:00,23.0,7.0,16.0
1,2022-08-01 01:00:00,12.0,5.0,7.0
2,2022-08-01 02:00:00,3.0,0.0,3.0
3,2022-08-01 03:00:00,5.0,2.0,3.0
4,2022-08-01 04:00:00,10.0,2.0,8.0
5,2022-08-01 05:00:00,27.0,5.0,22.0
6,2022-08-01 06:00:00,100.0,43.0,57.0
7,2022-08-01 07:00:00,219.0,90.0,129.0
8,2022-08-01 08:00:00,335.0,143.0,192.0
9,2022-08-01 09:00:00,212.0,85.0,127.0
10,2022-08-01 10:00:00,134.0,54.0,80.0
11,2022-08-01 11:00:00,98.0,45.0,53.0
12,2022-08-01 12:00:00,154.0,66.0,88.0
13,2022-08-01 13:00:00,120.0,54.0,66.0
14,2022-08-01 14:00:00,155.0,46.0,109.0
15,2022-08-01 15:00:00,174.0,82.0,92.0
16,2022-08-01 16:00:00,302.0,123.0,179.0
17,2022-08-01 17:00:00,474.0,150.0,324.0
18,2022-08-01 18:00:00,340.0,127.0,213.0
19,2022-08-01 19:00:00,223.0,84.0,139.0
20,2022-08-01 20:00:00,168.0,64.0,104.0
21,2022-08-01 21:00:00,93.0,36.0,57.0
22,2022-08-01 22:00:00,58.0,24.0,34.0
23,2022-08-01 23:00:00,28.0,11.0,17.0
24,2022-08-02 00:00:00,5.0,3.0,2.0
25,2022-08-02 01:00:00,7.0,1.0,6.0
26,2022-08-02 02:00:00,3.0,1.0,2.0
27,2022-08-02 03:00:00,1.0,0.0,1.0
28,2022-08-02 04:00:00,11.0,2.0,9.0
29,2022-08-02 05:00:00,32.0,8.0,24.0
30,2022-08-02 06:00:00,108.0,49.0,59.0
31,2022-08-02 07:00:00,258.0,97.0,161.0
32,2022-08-02 08:00:00,373.0,151.0,222.0
33,2022-08-02 09:00:00,231.0,104.0,127.0
34,2022-08-02 10:00:00,143.0,70.0,73.0
35,2022-08-02 11:00:00,108.0,55.0,53.0
36,2022-08-02 12:00:00,113.0,52.0,61.0
37,2022-08-02 13:00:00,140.0,58.0,82.0
38,2022-08-02 14:00:00,141.0,53.0,88.0
39,2022-08-02 15:00:00,227.0,87.0,140.0
40,2022-08-02 16:00:00,388.0,120.0,268.0
41,2022-08-02 17:00:00,576.0,175.0,401.0
42,2022-08-02 18:00:00,364.0,131.0,233.0
43,2022-08-02 19:00:00,241.0,101.0,140.0
44,2022-08-02 20:00:00,166.0,65.0,101.0
45,2022-08-02 21:00:00,99.0,34.0,65.0
46,2022-08-02 22:00:00,48.0,19.0,29.0
47,2022-08-02 23:00:00,24.0,9.0,15.0
48,2022-08-03 00:00:00,14.0,9.0,5.0
49,2022-08-03 01:00:00,5.0,1.0,4.0
50,2022-08-03 02:00:00,2.0,0.0,2.0
51,2022-08-03 03:00:00,3.0,0.0,3.0
52,2022-08-03 04:00:00,9.0,1.0,8.0
53,2022-08-03 05:00:00,26.0,11.0,15.0
54,2022-08-03 06:00:00,125.0,61.0,64.0
55,2022-08-03 07:00:00,278.0,110.0,168.0
56,2022-08-03 08:00:00,400.0,163.0,237.0
57,2022-08-03 09:00:00,250.0,102.0,148.0
58,2022-08-03 10:00:00,166.0,67.0,99.0
59,2022-08-03 11:00:00,128.0,54.0,74.0
60,2022-08-03 12:00:00,136.0,62.0,74.0
61,2022-08-03 13:00:00,137.0,52.0,85.0
62,2022-08-03 14:00:00,177.0,63.0,114.0
63,2022-08-03 15:00:00,217.0,92.0,125.0
64,2022-08-03 16:00:00,359.0,137.0,222.0
65,2022-08-03 17:00:00,522.0,161.0,361.0
66,2022-08-03 18:00:00,376.0,139.0,237.0
67,2022-08-03 19:00:00,280.0,104.0,176.0
68,2022-08-03 20:00:00,176.0,81.0,95.0
69,2022-08-03 21:00:00,105.0,42.0,63.0
70,2022-08-03 22:00:00,51.0,18.0,33.0
71,2022-08-03 23:00:00,34.0,6.0,28.0
72,2022-08-04 00:00:00,15.0,9.0,6.0
73,2022-08-04 01:00:00,6.0,5.0,1.0
74,2022-08-04 02:00:00,4.0,3.0,1.0
75,2022-08-04 03:00:00,5.0,2.0,3.0
76,2022-08-04 04:00:00,12.0,7.0,5.0
77,2022-08-04 05:00:00,18.0,7.0,11.0
78,2022-08-04 06:00:00,85.0,39.0,46.0
79,2022-08-04 07:00:00,213.0,68.0,145.0
80,2022-08-04 08:00:00,309.0,131.0,178.0
81,2022-08-04 09:00:00,219.0,87.0,132.0
82,2022-08-04 10:00:00,121.0,40.0,81.0
83,2022-08-04 11:00:00,92.0,44.0,48.0
84,2022-08-04 12:00:00,106.0,58.0,48.0
85,2022-08-04 13:00:00,81.0,33.0,48.0
86,2022-08-04 14:00:00,80.0,29.0,51.0
87,2022-08-04 15:00:00,142.0,49.0,93.0
88,2022-08-04 16:00:00,264.0,102.0,162.0
89,2022-08-04 17:00:00,419.0,120.0,299.0
90,2022-08-04 18:00:00,296.0,106.0,190.0
91,2022-08-04 19:00:00,197.0,74.0,123.0
92,2022-08-04 20:00:00,145.0,47.0,98.0
93,2022-08-04 21:00:00,72.0,26.0,46.0
94,2022-08-04 22:00:00,52.0,23.0,29.0
95,2022-08-04 23:00:00,33.0,14.0,19.0
96,2022-08-05 00:00:00,5.0,1.0,4.0
97,2022-08-05 01:00:00,3.0,0.0,3.0
98,2022-08-05 02:00:00,4.0,1.0,3.0
99,2022-08-05 03:00:00,4.0,1.0,3.0
100,2022-08-05 04:00:00,7.0,3.0,4.0
101,2022-08-05 05:00:00,25.0,7.0,18.0
102,2022-08-05 06:00:00,78.0,28.0,50.0
103,2022-08-05 07:00:00,165.0,68.0,97.0
104,2022-08-05 08:00:00,239.0,100.0,139.0
105,2022-08-05 09:00:00,211.0,79.0,132.0
106,2022-08-05 10:00:00,155.0,69.0,86.0
107,2022-08-05 11:00:00,162.0,83.0,79.0
108,2022-08-05 12:00:00,157.0,66.0,91.0
109,2022-08-05 13:00:00,173.0,79.0,94.0
110,2022-08-05 14:00:00,177.0,81.0,96.0
111,2022-08-05 15:00:00,199.0,86.0,113.0
112,2022-08-05 16:00:00,302.0,110.0,192.0
113,2022-08-05 17:00:00,375.0,152.0,223.0
114,2022-08-05 18:00:00,283.0,100.0,183.0
115,2022-08-05 19:00:00,192.0,80.0,112.0
116,2022-08-05 20:00:00,119.0,46.0,73.0
117,2022-08-05 21:00:00,69.0,24.0,45.0
118,2022-08-05 22:00:00,62.0,24.0,38.0
119,2022-08-05 23:00:00,54.0,23.0,31.0
120,2022-08-06 00:00:00,38.0,18.0,20.0
121,2022-08-06 01:00:00,16.0,4.0,12.0
122,2022-08-06 02:00:00,8.0,7.0,1.0
123,2022-08-06 03:00:00,15.0,12.0,3.0
124,2022-08-06 04:00:00,4.0,1.0,3.0
125,2022-08-06 05:00:00,6.0,0.0,6.0
126,2022-08-06 06:00:00,28.0,10.0,18.0
127,2022-08-06 07:00:00,54.0,30.0,24.0
128,2022-08-06 08:00:00,115.0,41.0,74.0
129,2022-08-06 09:00:00,164.0,88.0,76.0
130,2022-08-06 10:00:00,191.0,100.0,91.0
131,2022-08-06 11:00:00,250.0,122.0,128.0
132,2022-08-06 12:00:00,260.0,130.0,130.0
133,2022-08-06 13:00:00,232.0,107.0,125.0
134,2022-08-06 14:00:00,351.0,159.0,192.0
135,2022-08-06 15:00:00,250.0,116.0,134.0
136,2022-08-06 16:00:00,258.0,109.0,149.0
137,2022-08-06 17:00:00,233.0,107.0,126.0
138,2022-08-06 18:00:00,204.0,80.0,124.0
139,2022-08-06 19:00:00,231.0,70.0,161.0
140,2022-08-06 20:00:00,120.0,40.0,80.0
141,2022-08-06 21:00:00,147.0,51.0,96.0
142,2022-08-06 22:00:00,54.0,13.0,41.0
143,2022-08-06 23:00:00,40.0,5.0,35.0
144,2022-08-07 00:00:00,40.0,15.0,25.0
145,2022-08-07 01:00:00,17.0,7.0,10.0
146,2022-08-07 02:00:00,9.0,6.0,3.0
147,2022-08-07 03:00:00,4.0,1.0,3.0
148,2022-08-07 04:00:00,10.0,4.0,6.0
149,2022-08-07 05:00:00,6.0,1.0,5.0
150,2022-08-07 06:00:00,15.0,6.0,9.0
151,2022-08-07 07:00:00,49.0,23.0,26.0
152,2022-08-07 08:00:00,100.0,39.0,61.0
153,2022-08-07 09:00:00,165.0,83.0,82.0
154,2022-08-07 10:00:00,177.0,74.0,103.0
155,2022-08-07 11:00:00,246.0,125.0,121.0
156,2022-08-07 12:00:00,208.0,90.0,118.0
157,2022-08-07 13:00:00,238.0,120.0,118.0
158,2022-08-07 14:00:00,195.0,89.0,106.0
159,2022-08-07 15:00:00,205.0,98.0,107.0
160,2022-08-07 16:00:00,186.0,84.0,102.0
161,2022-08-07 17:00:00,176.0,76.0,100.0
162,2022-08-07 18:00:00,162.0,78.0,84.0
163,2022-08-07 19:00:00,118.0,44.0,74.0
164,2022-08-07 20:00:00,122.0,54.0,68.0
165,2022-08-07 21:00:00,52.0,27.0,25.0
166,2022-08-07 22:00:00,22.0,7.0,15.0
167,2022-08-07 23:00:00,18.0,7.0,11.0
168,2022-08-08 00:00:00,9.0,4.0,5.0
169,2022-08-08 01:00:00,0.0,0.0,0.0
170,2022-08-08 02:00:00,5.0,0.0,5.0
171,2022-08-08 03:00:00,1.0,1.0,0.0
172,2022-08-08 04:00:00,8.0,2.0,6.0
173,2022-08-08 05:00:00,33.0,8.0,25.0
174,2022-08-08 06:00:00,99.0,38.0,61.0
175,2022-08-08 07:00:00,222.0,87.0,135.0
176,2022-08-08 08:00:00,323.0,141.0,182.0
177,2022-08-08 09:00:00,199.0,90.0,109.0
178,2022-08-08 10:00:00,127.0,50.0,77.0
179,2022-08-08 11:00:00,134.0,64.0,70.0
180,2022-08-08 12:00:00,105.0,57.0,48.0
181,2022-08-08 13:00:00,107.0,36.0,71.0
182,2022-08-08 14:00:00,97.0,39.0,58.0
183,2022-08-08 15:00:00,199.0,68.0,131.0
184,2022-08-08 16:00:00,297.0,92.0,205.0
185,2022-08-08 17:00:00,419.0,118.0,301.0
186,2022-08-08 18:00:00,310.0,109.0,201.0
187,2022-08-08 19:00:00,169.0,70.0,99.0
188,2022-08-08 20:00:00,130.0,55.0,75.0
189,2022-08-08 21:00:00,78.0,31.0,47.0
190,2022-08-08 22:00:00,62.0,21.0,41.0
191,2022-08-08 23:00:00,21.0,10.0,11.0
192,2022-08-09 00:00:00,24.0,8.0,16.0
193,2022-08-09 01:00:00,5.0,1.0,4.0
194,2022-08-09 02:00:00,2.0,0.0,2.0
195,2022-08-09 03:00:00,5.0,2.0,3.0
196,2022-08-09 04:00:00,5.0,1.0,4.0
197,2022-08-09 05:00:00,24.0,7.0,17.0
