Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,DOY,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,AQI_calculated_where,AQI_Cause,AQI_bucket_calculated,precip_accum_one_hour_set_1,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East,time_hour,time_yr,DOW,time_mn
Seattle Beacon Hill,2012-06-30 11:00:00,,,,20.0,,,82.0,,67.0,,,240.0,5.5,,2012-06-30,,,30.572727272727267,1.69055,0.0,89.64104564962935,0.0,0.0,0.0,19.210795454545455,0.0,0.0,0.0,90.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,0.76,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 12:00:00,,,,20.0,,,80.0,,67.0,,,235.0,4.9,,2012-06-30,,,31.40454545454546,1.8515625,0.0,91.42606320717911,0.0,0.0,0.0,21.040482954545453,0.0,0.0,0.0,91.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,0.25,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 13:00:00,,,,20.0,,,82.0,,66.0,,,248.0,4.8,,2012-06-30,,,32.31363636363636,1.9627999999999999,0.0,93.37690206788919,0.0,0.0,0.0,22.30454545454545,0.0,0.0,0.0,93.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,0.03,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 14:00:00,,,,20.0,,,81.0,,67.0,,,225.0,3.8,,2012-06-30,,,32.85,2.0141375,0.0,94.52789699570816,0.0,0.0,0.0,22.887926136363635,0.0,0.0,0.0,95.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 15:00:00,,,,10.0,,,83.0,,66.0,,,231.0,3.9,,2012-06-30,,,33.6,2.0344375,0.0,96.137339055794,0.0,0.0,0.0,23.118607954545457,0.0,0.0,0.0,96.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 16:00:00,,,,10.0,,,81.0,,67.0,,,237.0,4.2,,2012-06-30,,,34.10909090909092,2.0403374999999997,0.0,97.22980881779168,0.0,0.0,0.0,23.185653409090904,0.0,0.0,0.0,97.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,0.03,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 17:00:00,,,,10.0,,,86.0,,64.0,,,293.0,5.5,,2012-06-30,,,34.54090909090909,2.01285,0.0,98.15645727662894,0.0,0.0,0.0,22.873295454545453,0.0,0.0,0.0,98.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,0.03,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 18:00:00,,,,10.0,,,83.0,,64.0,,,292.0,4.6,,2012-06-30,,,35.53636363636363,1.9594124999999998,0.0,100.09136592051163,0.0,0.0,0.0,22.266051136363632,0.0,0.0,0.0,100.0,PM2.5FEM_SubIndex,PM2.5,Satisfactory,,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 19:00:00,,,,,,,86.0,,62.0,,,280.0,2.9,,2012-06-30,,,36.65909090909091,1.8189875,0.0,102.91228871630881,0.0,0.0,0.0,20.670312499999998,0.0,0.0,0.0,103.0,PM2.5FEM_SubIndex,PM2.5,Moderate,,,,,,,,,,,
Seattle Beacon Hill,2012-06-30 20:00:00,,,,,,,92.0,,59.0,,,272.0,2.3,,2012-06-30,,,37.650000000000006,1.7087875,0.0,105.40201005025128,0.0,0.0,0.0,19.418039772727273,0.0,0.0,0.0,105.0,PM2.5FEM_SubIndex,PM2.5,Moderate,,,,,,,,,,,
