,Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East,precip_accum_one_hour_set_1,AQI_bucket_calculated,AQI_calculated_where,AQI_Cause
0,Seattle 10th & Weller,2014-05-21,,,,,,9.1,,,,,,,,,,,3.5749999999999997,0.41149999999999987,0.0,14.895833333333334,0.0,37.91666666666667,0.0,4.6761363636363615,0.0,0.0,0.0,15.0,5229.0,2666.0,2563.0,1518.0,729.0,789.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
1,Seattle 10th & Weller,2014-05-22,,,,,,8.336363636363636,,,,,,,,,,,7.319128787878787,0.7088056818181817,0.0,30.340231716304675,0.0,34.01669592924958,0.0,8.054610020661157,0.0,0.0,0.0,30.318181818181817,4910.0,2473.0,2437.0,1551.0,756.0,795.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2,Seattle 10th & Weller,2014-05-23,,,,,,6.591666666666666,,,,,,,,,,,9.4890625,0.6864905200501252,0.0,39.46690336393261,0.0,27.465277777777782,0.0,6.175814337572149,0.0,0.0,0.0,39.458333333333336,2556.0,1308.0,1248.0,751.0,359.0,392.0,3.14,Good,PM2.5FEM_SubIndex,PM2.5
3,Seattle 10th & Weller,2014-05-24,,,,,,5.625,,,,,,,,,,,15.339930555555554,0.8409406249999999,0.0,56.842823577332695,0.0,23.4375,0.0,9.55614346590909,0.0,0.0,0.0,56.916666666666664,2155.0,1124.0,1031.0,654.0,336.0,318.0,0.0,Satisfactory,PM2.5FEM_SubIndex,PM2.5
4,Seattle 10th & Weller,2014-05-25,,,,,,6.104166666666667,,,,,,,,,,,6.1890247584541065,0.3770325892857141,0.0,25.586941376526507,0.0,25.434027777777782,0.0,4.284461241883115,0.0,0.0,0.0,25.583333333333332,1234.0,670.0,564.0,366.0,186.0,180.0,0.6,Good,PM2.5FEM_SubIndex,PM2.5
5,Seattle 10th & Weller,2014-05-26,,,,,,4.195833333333334,,,,,,,,,,,4.30047554347826,0.4577123015873014,0.0,17.918648097826086,0.0,17.48263888888889,0.0,5.201276154401152,0.0,0.0,0.0,17.916666666666668,2289.0,1260.0,1029.0,652.0,323.0,329.0,4.606666667,Good,PM2.5FEM_SubIndex,PM2.5
6,Seattle 10th & Weller,2014-05-27,,,,,,4.766666666666667,,,,,,,,,,,5.605381944444443,0.6221919394841268,0.0,23.35575810185185,0.0,19.86111111111111,0.0,7.070362948683258,0.0,0.0,0.0,23.416666666666668,5032.0,2562.0,2470.0,1482.0,722.0,760.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
7,Seattle 10th & Weller,2014-05-28,,,,,,6.921739130434782,,,,,,,,,,,5.135973187178291,0.4608784937888197,0.0,21.399888279909547,0.0,28.778534552466255,0.0,5.237255611236588,0.0,0.0,0.0,21.347826086956523,4008.0,2078.0,1930.0,1061.0,507.0,554.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
8,Seattle 10th & Weller,2014-05-29,,,,,,9.360869565217392,,,,,,,,,,,3.4481182333734317,0.41587649659863923,0.0,14.367159305722634,0.0,38.8180319711389,0.0,4.314924124788253,0.0,0.0,0.0,14.391304347826088,4587.0,2300.0,2287.0,1353.0,651.0,702.0,0.09,Good,PM2.5FEM_SubIndex,PM2.5
9,Seattle 10th & Weller,2014-05-30,,,,,,8.254166666666666,,,,,,,,,,,4.315732048748353,0.48031433035714266,0.0,17.982216869784803,0.0,34.392361111111114,0.0,5.458117390422076,0.0,0.0,0.0,17.916666666666668,4869.0,2437.0,2432.0,1477.0,732.0,745.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
10,Seattle 10th & Weller,2014-05-31,,,,,,10.6,,,,,,,,,,,3.6415223665223664,0.4705088541666665,0.0,15.17300986050986,0.0,42.72375715307583,0.0,5.34669152462121,0.0,0.0,0.0,15.166666666666666,2887.0,1609.0,1278.0,1104.0,541.0,563.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
11,Seattle 10th & Weller,2014-06-01,,23.35666666666667,,,,9.950000000000001,,,,,231.375,,,4.833333333333333,,,3.8806481938954764,0.364218601190476,0.0,16.169367474564485,0.0,39.54339532665713,0.0,4.1388477408008635,0.0,21.99659898824173,0.0,26.625,2601.0,1438.0,1163.0,844.0,417.0,427.0,0.0,Good,NO2_SubIndex,NO2
12,Seattle 10th & Weller,2014-06-02,,31.12117647058823,,,,13.822727272727274,,,,,227.45833333333334,,,4.495833333333334,,,5.579800724637681,0.5228570616883115,0.0,23.24916968599034,0.0,48.5179721030043,0.0,5.446427725919912,0.0,20.79638364779874,0.0,28.833333333333332,4914.0,2427.0,2487.0,1347.0,660.0,687.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
13,Seattle 10th & Weller,2014-06-03,,23.43133333333333,,,,9.5,,,,,196.95833333333334,,,6.479166666666667,,,4.891382575757576,0.42820749999999985,0.0,20.380760732323235,0.0,39.523873390557945,0.0,4.257745028409089,0.0,13.815644654088052,0.0,23.625,4670.0,2371.0,2299.0,1416.0,680.0,736.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
14,Seattle 10th & Weller,2014-06-04,,29.0645,,,,11.30909090909091,,,,,233.1304347826087,,,4.660869565217391,,,4.647765700483092,0.3846260416666665,0.0,19.36569041867955,0.0,41.278463280877446,0.0,4.370750473484846,0.0,22.84944968553459,0.0,26.666666666666668,4863.0,2463.0,2400.0,1392.0,678.0,714.0,0.0,Good,NO2_SubIndex,NO2
15,Seattle 10th & Weller,2014-06-05,,28.0675,,,,10.808333333333332,,,,,232.83333333333334,,,4.133333333333334,,,3.96796497584541,0.3821901041666665,0.0,16.533187399355878,0.0,42.14152658559848,0.0,4.343069365530301,0.0,26.478773584905664,0.0,28.5,4675.0,2322.0,2353.0,1404.0,709.0,695.0,0.0,Good,NO2_SubIndex,NO2
