Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
8/1/22 0:00,23.00,7.00,16.00
8/1/22 1:00,12.00,5.00,7.00
8/1/22 2:00,3.00,0.00,3.00
8/1/22 3:00,5.00,2.00,3.00
8/1/22 4:00,10.00,2.00,8.00
8/1/22 5:00,27.00,5.00,22.00
8/1/22 6:00,100.00,43.00,57.00
8/1/22 7:00,219.00,90.00,129.00
8/1/22 8:00,335.00,143.00,192.00
8/1/22 9:00,212.00,85.00,127.00
8/1/22 10:00,134.00,54.00,80.00
8/1/22 11:00,98.00,45.00,53.00
8/1/22 12:00,154.00,66.00,88.00
8/1/22 13:00,120.00,54.00,66.00
8/1/22 14:00,155.00,46.00,109.00
8/1/22 15:00,174.00,82.00,92.00
8/1/22 16:00,302.00,123.00,179.00
8/1/22 17:00,474.00,150.00,324.00
8/1/22 18:00,340.00,127.00,213.00
8/1/22 19:00,223.00,84.00,139.00
8/1/22 20:00,168.00,64.00,104.00
8/1/22 21:00,93.00,36.00,57.00
8/1/22 22:00,58.00,24.00,34.00
8/1/22 23:00,28.00,11.00,17.00
8/2/22 0:00,5.00,3.00,2.00
8/2/22 1:00,7.00,1.00,6.00
8/2/22 2:00,3.00,1.00,2.00
8/2/22 3:00,1.00,0.00,1.00
8/2/22 4:00,11.00,2.00,9.00
8/2/22 5:00,32.00,8.00,24.00
8/2/22 6:00,108.00,49.00,59.00
8/2/22 7:00,258.00,97.00,161.00
8/2/22 8:00,373.00,151.00,222.00
8/2/22 9:00,231.00,104.00,127.00
8/2/22 10:00,143.00,70.00,73.00
8/2/22 11:00,108.00,55.00,53.00
8/2/22 12:00,113.00,52.00,61.00
8/2/22 13:00,140.00,58.00,82.00
8/2/22 14:00,141.00,53.00,88.00
8/2/22 15:00,227.00,87.00,140.00
8/2/22 16:00,388.00,120.00,268.00
8/2/22 17:00,576.00,175.00,401.00
8/2/22 18:00,364.00,131.00,233.00
8/2/22 19:00,241.00,101.00,140.00
8/2/22 20:00,166.00,65.00,101.00
8/2/22 21:00,99.00,34.00,65.00
8/2/22 22:00,48.00,19.00,29.00
8/2/22 23:00,24.00,9.00,15.00
8/3/22 0:00,14.00,9.00,5.00
8/3/22 1:00,5.00,1.00,4.00
8/3/22 2:00,2.00,0.00,2.00
8/3/22 3:00,3.00,0.00,3.00
8/3/22 4:00,9.00,1.00,8.00
8/3/22 5:00,26.00,11.00,15.00
8/3/22 6:00,125.00,61.00,64.00
8/3/22 7:00,278.00,110.00,168.00
8/3/22 8:00,400.00,163.00,237.00
8/3/22 9:00,250.00,102.00,148.00
8/3/22 10:00,166.00,67.00,99.00
8/3/22 11:00,128.00,54.00,74.00
8/3/22 12:00,136.00,62.00,74.00
8/3/22 13:00,137.00,52.00,85.00
8/3/22 14:00,177.00,63.00,114.00
8/3/22 15:00,217.00,92.00,125.00
8/3/22 16:00,359.00,137.00,222.00
8/3/22 17:00,522.00,161.00,361.00
8/3/22 18:00,376.00,139.00,237.00
8/3/22 19:00,280.00,104.00,176.00
8/3/22 20:00,176.00,81.00,95.00
8/3/22 21:00,105.00,42.00,63.00
8/3/22 22:00,51.00,18.00,33.00
8/3/22 23:00,34.00,6.00,28.00
8/4/22 0:00,15.00,9.00,6.00
8/4/22 1:00,6.00,5.00,1.00
8/4/22 2:00,4.00,3.00,1.00
8/4/22 3:00,5.00,2.00,3.00
8/4/22 4:00,12.00,7.00,5.00
8/4/22 5:00,18.00,7.00,11.00
8/4/22 6:00,85.00,39.00,46.00
8/4/22 7:00,213.00,68.00,145.00
8/4/22 8:00,309.00,131.00,178.00
8/4/22 9:00,219.00,87.00,132.00
8/4/22 10:00,121.00,40.00,81.00
8/4/22 11:00,92.00,44.00,48.00
8/4/22 12:00,106.00,58.00,48.00
8/4/22 13:00,81.00,33.00,48.00
