Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,DOY,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,AQI_bucket_calculated,AQI_calculated_where,AQI_Cause,precip_accum_one_hour_set_1,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East
Seattle 10th & Weller,2016-05-28 12:00:00,0.368,10.15,,,,6.5,,,,60.0,200.0,,,11.6,2016-05-28,,151.16666666666666,,1.0967571428571428,200.66733400066732,0.0,0.0,27.083333333333336,0.0,12.46314935064935,0.0,9.575471698113208,0.0,201.0,Poor,PM2.5MO_SubIndex,PM2.5,0.25,116.0,55.0,61.0,37.0,13.0,24.0
Seattle Beacon Hill,2016-05-28 12:00:00,0.1509,,,30.0,,2.1,62.0,0.3,61.0,,193.0,,,,2016-05-28,,152.33333333333334,,1.1313,201.83516850183517,0.0,0.0,8.750000000000002,0.0,12.855681818181818,0.42857142857142855,0.0,0.0,202.0,Poor,PM2.5MO_SubIndex,PM2.5,0.25,116.0,55.0,61.0,37.0,13.0,24.0
Seattle 10th & Weller,2016-05-28 13:00:00,0.3807,11.02,,,,3.0,,,,60.0,202.0,,,12.4,2016-05-28,,152.625,,1.157675,202.12712712712712,0.0,0.0,12.5,0.0,13.155397727272726,0.0,10.39622641509434,0.0,202.0,Poor,PM2.5MO_SubIndex,PM2.5,0.51,94.0,56.0,38.0,28.0,14.0,14.0
Seattle Beacon Hill,2016-05-28 13:00:00,0.157,,,30.0,,1.1,66.0,0.3,60.0,,210.0,,,,2016-05-28,,151.54166666666666,,1.1927750000000001,201.0427093760427,0.0,0.0,4.583333333333334,0.0,13.554261363636364,0.42857142857142855,0.0,0.0,201.0,Poor,PM2.5MO_SubIndex,PM2.5,0.51,94.0,56.0,38.0,28.0,14.0,14.0
Seattle Beacon Hill,2016-05-29 04:00:00,0.13119999999999998,,,30.0,,2.9,94.0,0.2,53.0,,181.0,,,,2016-05-29,,151.04166666666666,,,200.5422088755422,0.0,0.0,12.083333333333334,0.0,0.0,0.28571428571428575,0.0,0.0,201.0,Poor,PM2.5MO_SubIndex,PM2.5,,0.0,0.0,0.0,4.0,2.0,2.0
Seattle 10th & Weller,2016-05-29 04:00:00,0.2547,18.75,,,,2.0,,,,54.0,194.0,,,5.1,2016-05-29,,152.0,,,201.5015015015015,0.0,0.0,8.333333333333334,0.0,0.0,0.0,17.68867924528302,0.0,202.0,Poor,PM2.5MO_SubIndex,PM2.5,,0.0,0.0,0.0,4.0,2.0,2.0
Seattle 10th & Weller,2016-05-29 05:00:00,0.2964,15.06,,,,3.5,,,,54.0,197.0,,,4.8,2016-05-29,,152.95833333333334,,,202.46079412746082,0.0,0.0,14.583333333333334,0.0,0.0,0.0,14.207547169811322,0.0,202.0,Poor,PM2.5MO_SubIndex,PM2.5,,3.0,1.0,2.0,5.0,2.0,3.0
Seattle Beacon Hill,2016-05-29 05:00:00,0.13169999999999998,,,30.0,,2.6,93.0,0.2,54.0,,186.0,,,,2016-05-29,,153.41666666666666,,,202.91958625291957,0.0,0.0,10.833333333333334,0.0,0.0,0.28571428571428575,0.0,0.0,203.0,Poor,PM2.5MO_SubIndex,PM2.5,,3.0,1.0,2.0,5.0,2.0,3.0
Seattle Beacon Hill,2016-05-29 06:00:00,0.13069999999999998,,,30.0,,3.1,89.0,0.4,54.0,,233.0,,,,2016-05-29,,154.04166666666666,,,203.5452118785452,0.0,0.0,12.916666666666668,0.0,0.0,0.5714285714285715,0.0,0.0,204.0,Poor,PM2.5MO_SubIndex,PM2.5,0.25,11.0,5.0,6.0,2.0,0.0,2.0
Seattle 10th & Weller,2016-05-29 06:00:00,0.36060000000000003,16.71,,,,3.0,,,,54.0,224.0,,,4.6,2016-05-29,,154.95833333333334,,,204.46279612946282,0.0,0.0,12.5,0.0,0.0,0.0,15.764150943396228,0.0,204.0,Poor,PM2.5MO_SubIndex,PM2.5,0.25,11.0,5.0,6.0,2.0,0.0,2.0
