"","X","index","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","X03_SubIndex","CO_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","AQI_calculated_where","AQI_Cause","AQI_bucket_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","mPM","mNO2","AQ_cat","Month","year"
"7014",1170,1170,"Seattle 10th & Weller",2017-08-03,0.780791666666667,37.03375,NA,NA,56.0416666666667,NA,NA,NA,NA,78.2916666666667,197.458333333333,NA,NA,3.42083333333333,0,8.87263257575758,150.285388127854,0,0,34.9375,0,150,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",4097,1660,2437,1137,557,580,0,56.0416666666667,37.03375,"less",8,2017
"7019",1546,1546,"Seattle 10th & Weller",2018-08-14,0.796356521739131,36.21375,NA,NA,59,NA,NA,NA,NA,70.6666666666667,176.125,NA,NA,2.99583333333333,0,9.04950592885376,151.844046364594,0,0,34.1639150943396,0,152,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",4552,1735,2817,1252,603,649,0,59,36.21375,"less",8,2018
"7020",1547,1547,"Seattle 10th & Weller",2018-08-15,0.905994736842105,50.3221052631579,NA,NA,55.5,NA,NA,NA,NA,70.0416666666667,255.958333333333,NA,NA,2.92083333333333,0,10.2953947368421,150,0,0,47.4736842105263,0,150,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",4224,1673,2551,1160,559,601,0,55.5,50.3221052631579,"less",8,2018
"7021",1552,1552,"Seattle 10th & Weller",2018-08-20,0.746578260869565,26.2786956521739,NA,NA,66.625,NA,NA,NA,NA,68.8695652173913,170.583333333333,NA,NA,3.25833333333333,0,8.48384387351778,155.86143308746,0,0,24.7912223133716,0,156,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",2980,1068,1912,829,376,453,0,66.625,26.2786956521739,"less",8,2018
"7022",1553,1553,"Seattle 10th & Weller",2018-08-21,1.3376380952381,57.3875,NA,NA,102.208333333333,NA,NA,NA,NA,73.6666666666667,214.5,NA,NA,2.5625,0,15.2004329004329,174.609237794169,0,0,53.6820652173913,0,175,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",2361,899,1462,564,281,283,0,102.208333333333,57.3875,"greater",8,2018
"7023",1554,1554,"Seattle 10th & Weller",2018-08-22,1.09209130434783,59.2817391304348,NA,NA,95.625,NA,NA,NA,NA,70.3333333333333,228.958333333333,NA,NA,3.39166666666667,0,12.410128458498,171.140674394099,0,0,55.7410207939509,0,171,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",2361,848,1513,604,305,299,0,95.625,59.2817391304348,"greater",8,2018
"7026",2227,2227,"Seattle 10th & Weller",2020-06-25,0.59151,14.3965217391304,NA,NA,60.5,NA,NA,NA,NA,68.4583333333333,237.625,NA,NA,4.32083333333333,0,6.72170454545455,152.63435194942,0,0,13.5816242821985,0,153,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",3509,1518,1991,1472,727,745,0,60.5,14.3965217391304,"less",6,2020
"7029",2305,2305,"Seattle 10th & Weller",2020-09-11,1.33504583333333,27.9695833333333,NA,NA,131.333333333333,NA,NA,NA,NA,66.5416666666667,218.333333333333,NA,NA,3.90416666666667,0,15.1709753787879,189.954337899543,0,0,26.3863993710692,0,190,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",897,358,539,541,258,283,0,131.333333333333,27.9695833333333,"greater",9,2020
"7030",2306,2306,"Seattle 10th & Weller",2020-09-12,1.30525217391304,19.6795652173913,NA,NA,145.625,NA,NA,NA,NA,57.6666666666667,218.083333333333,NA,NA,2.7,0,14.8324110671937,197.484193888303,0,0,18.5656275635767,0,197,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",343,164,179,188,87,101,0,145.625,19.6795652173913,"greater",9,2020
"7031",2310,2310,"Seattle 10th & Weller",2020-09-16,0.9519875,25.6579166666667,NA,NA,101.125,NA,NA,NA,NA,65.5416666666667,155.416666666667,NA,NA,2.45833333333333,0,10.8180397727273,174.038461538462,0,0,24.2055817610063,0,174,"PM2.5_1hrMO_SubIndex","PM2.5","Moderate",726,299,427,435,207,228,0.03,101.125,25.6579166666667,"greater",9,2020
