"","X","index","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","X03_SubIndex","CO_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","AQI_calculated_where","AQI_Cause","AQI_bucket_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","mPM","mNO2","AQ_cat"
"1",0,0,"Seattle 10th & Weller",2014-05-21,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37.9166666666667,0,0,0,38,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",5229,2666,2563,1518,729,789,0,9.1,NA,"less"
"2",1,1,"Seattle 10th & Weller",2014-05-22,NA,NA,NA,NA,NA,8.33636363636364,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,34.7348484848485,0,0,0,35,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4910,2473,2437,1551,756,795,0,8.33636363636364,NA,"less"
"3",2,2,"Seattle 10th & Weller",2014-05-23,NA,NA,NA,NA,NA,6.59166666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,27.4652777777778,0,0,0,27,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2556,1308,1248,751,359,392,3.14,6.59166666666667,NA,"less"
"4",3,3,"Seattle 10th & Weller",2014-05-24,NA,NA,NA,NA,NA,5.625,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,23.4375,0,0,0,23,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2155,1124,1031,654,336,318,0,5.625,NA,"less"
"5",4,4,"Seattle 10th & Weller",2014-05-25,NA,NA,NA,NA,NA,6.10416666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.4340277777778,0,0,0,25,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",1234,670,564,366,186,180,0.6,6.10416666666667,NA,"less"
"6",5,5,"Seattle 10th & Weller",2014-05-26,NA,NA,NA,NA,NA,4.19583333333333,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17.4826388888889,0,0,0,17,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2289,1260,1029,652,323,329,4.606666667,4.19583333333333,NA,"less"
"7",6,6,"Seattle 10th & Weller",2014-05-27,NA,NA,NA,NA,NA,4.76666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,19.8611111111111,0,0,0,20,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",5032,2562,2470,1482,722,760,0,4.76666666666667,NA,"less"
"8",7,7,"Seattle 10th & Weller",2014-05-28,NA,NA,NA,NA,NA,6.92173913043478,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.8405797101449,0,0,0,29,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4008,2078,1930,1061,507,554,0,6.92173913043478,NA,"less"
"9",8,8,"Seattle 10th & Weller",2014-05-29,NA,NA,NA,NA,NA,9.36086956521739,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,39.0036231884058,0,0,0,39,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4587,2300,2287,1353,651,702,0.09,9.36086956521739,NA,"less"
"10",9,9,"Seattle 10th & Weller",2014-05-30,NA,NA,NA,NA,NA,8.25416666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,34.3923611111111,0,0,0,34,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4869,2437,2432,1477,732,745,0,8.25416666666667,NA,"less"
"11",10,10,"Seattle 10th & Weller",2014-05-31,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,44.1666666666667,0,0,0,44,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2887,1609,1278,1104,541,563,0,10.6,NA,"less"
"12",11,11,"Seattle 10th & Weller",2014-06-01,NA,23.3566666666667,NA,NA,NA,9.95,NA,NA,NA,NA,231.375,NA,NA,4.83333333333333,0,0,0,41.4583333333333,0,22.0345911949686,0,41,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2601,1438,1163,844,417,427,0,9.95,23.3566666666667,"less"
"13",13,13,"Seattle 10th & Weller",2014-06-03,NA,23.4313333333333,NA,NA,NA,9.5,NA,NA,NA,NA,196.958333333333,NA,NA,6.47916666666667,0,0,0,39.5833333333333,0,22.1050314465409,0,40,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4670,2371,2299,1416,680,736,0,9.5,23.4313333333333,"less"
"14",14,14,"Seattle 10th & Weller",2014-06-04,NA,29.0645,NA,NA,NA,11.3090909090909,NA,NA,NA,NA,233.130434782609,NA,NA,4.66086956521739,0,0,0,47.1212121212121,0,27.4193396226415,0,47,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4863,2463,2400,1392,678,714,0,11.3090909090909,29.0645,"less"
"15",15,15,"Seattle 10th & Weller",2014-06-05,NA,28.0675,NA,NA,NA,10.8083333333333,NA,NA,NA,NA,232.833333333333,NA,NA,4.13333333333333,0,0,0,45.0347222222222,0,26.4787735849057,0,45,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4675,2322,2353,1404,709,695,0,10.8083333333333,28.0675,"less"
"16",16,16,"Seattle 10th & Weller",2014-06-06,NA,26.8705,NA,NA,NA,9.43333333333333,NA,NA,NA,NA,187.791666666667,NA,NA,4.59166666666667,0,0,0,39.3055555555556,0,25.3495283018868,0,39,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4382,2200,2182,1236,598,638,0,9.43333333333333,26.8705,"less"
"17",17,17,"Seattle 10th & Weller",2014-06-07,NA,12.82875,NA,NA,NA,4.5375,NA,NA,NA,NA,146.25,NA,NA,4.70416666666667,0,0,0,18.90625,0,12.1025943396226,0,19,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2807,1529,1278,1009,512,497,0,4.5375,12.82875,"less"
"18",18,18,"Seattle 10th & Weller",2014-06-08,NA,13.9745833333333,NA,NA,NA,5.8125,NA,NA,NA,NA,168.875,NA,NA,4.3625,0,0,0,24.21875,0,13.1835691823899,0,24,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3547,1900,1647,799,394,405,0,5.8125,13.9745833333333,"less"
"19",19,19,"Seattle 10th & Weller",2014-06-09,NA,15.397619047619,NA,NA,NA,5.32083333333333,NA,NA,NA,NA,124.791666666667,NA,NA,5.125,0,0,0,22.1701388888889,0,14.526055705301,0,22,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4128,2040,2088,1173,581,592,0.03,5.32083333333333,15.397619047619,"less"
"20",20,20,"Seattle 10th & Weller",2014-06-10,NA,16.61125,NA,NA,NA,7.48333333333333,NA,NA,NA,NA,105.333333333333,NA,NA,3.95416666666667,0,0,0,31.1805555555556,0,15.6709905660377,0,31,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4530,2253,2277,1294,629,665,0,7.48333333333333,16.61125,"less"
"21",21,21,"Seattle 10th & Weller",2014-06-11,0.50188,21.8555,NA,NA,NA,8.125,NA,NA,NA,NA,202.083333333333,NA,NA,4.41666666666667,0,5.70318181818182,0,33.8541666666667,0,20.6183962264151,0,34,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",5196,2654,2542,1492,734,758,0,8.125,21.8555,"less"
"22",22,22,"Seattle 10th & Weller",2014-06-12,0.510541666666667,20.3879166666667,NA,NA,NA,5.72857142857143,NA,NA,NA,NA,190.25,NA,NA,7.33333333333333,0,5.80160984848485,0,23.8690476190476,0,19.2338836477987,0,24,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4077,2098,1979,1133,525,608,0,5.72857142857143,20.3879166666667,"less"
"23",23,23,"Seattle 10th & Weller",2014-06-13,0.53603,23.377,NA,NA,NA,7.79583333333333,NA,NA,NA,NA,193.041666666667,NA,NA,8.35833333333333,0,6.09125,0,32.4826388888889,0,22.0537735849057,0,32,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2266,1131,1135,558,287,271,8.026666667,7.79583333333333,23.377,"less"
"24",24,24,"Seattle 10th & Weller",2014-06-14,0.3973,13.3016666666667,NA,NA,NA,8.09166666666667,NA,NA,NA,NA,139.375,NA,NA,5.53333333333333,0,4.51477272727273,0,33.7152777777778,0,12.5487421383648,0,34,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",1773,955,818,695,339,356,0,8.09166666666667,13.3016666666667,"less"
"25",25,25,"Seattle 10th & Weller",2014-06-15,0.356516666666667,11.4025,NA,NA,NA,5.3125,NA,NA,NA,NA,151.125,NA,NA,4.73333333333333,0,4.05132575757576,0,22.1354166666667,0,10.7570754716981,0,22,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",1267,720,547,455,220,235,0.37,5.3125,11.4025,"less"
"26",26,26,"Seattle 10th & Weller",2014-06-16,0.63215,26.139,NA,NA,NA,6.01666666666667,NA,NA,NA,NA,207.375,NA,NA,4.18333333333333,0,7.18352272727273,0,25.0694444444444,0,24.6594339622641,0,25,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3361,1689,1672,902,441,461,3.99,6.01666666666667,26.139,"less"
"27",27,27,"Seattle 10th & Weller",2014-06-17,0.430920833333333,16.7341666666667,NA,NA,NA,6.70833333333333,NA,NA,NA,NA,170.708333333333,NA,NA,5.10416666666667,0,4.89682765151515,0,27.9513888888889,0,15.7869496855346,0,28,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4107,2075,2032,1079,519,560,1.2,6.70833333333333,16.7341666666667,"less"
"28",28,28,"Seattle 10th & Weller",2014-06-18,0.655975,31.286875,NA,NA,NA,8.74444444444445,NA,NA,NA,57.4545454545455,204.2,NA,NA,4.245,0,7.45426136363636,0,36.4351851851852,0,29.5159198113208,0,36,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4650,2380,2270,1220,496,724,0,8.74444444444445,31.286875,"less"
"29",29,29,"Seattle 10th & Weller",2014-06-19,0.502004545454545,20.6890909090909,NA,NA,NA,6.45833333333333,NA,NA,NA,57.9583333333333,192.708333333333,NA,NA,6.54583333333333,0,5.70459710743802,0,26.9097222222222,0,19.5180102915952,0,27,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4412,2248,2164,1270,627,643,0,6.45833333333333,20.6890909090909,"less"
"30",30,30,"Seattle 10th & Weller",2014-06-20,0.403875,16.6394736842105,NA,NA,NA,5.39583333333333,NA,NA,NA,57,142.333333333333,NA,NA,4.64583333333333,0,4.58948863636364,0,22.4826388888889,0,15.6976166832175,0,22,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3790,1902,1888,1020,497,523,1.04,5.39583333333333,16.6394736842105,"less"
"31",31,31,"Seattle 10th & Weller",2014-06-21,0.373629166666667,14.3241666666667,NA,NA,NA,5.24166666666667,NA,NA,NA,61.1666666666667,190.458333333333,NA,NA,4.6375,0,4.24578598484849,0,21.8402777777778,0,13.5133647798742,0,22,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3204,1510,1694,1135,551,584,0,5.24166666666667,14.3241666666667,"less"
"32",32,32,"Seattle 10th & Weller",2014-06-22,0.415075,16.9483333333333,NA,NA,NA,6.17916666666667,NA,NA,NA,64.4583333333333,195.875,NA,NA,4.42083333333333,0,4.71676136363636,0,25.7465277777778,0,15.9889937106918,0,26,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2714,1411,1303,910,447,463,0,6.17916666666667,16.9483333333333,"less"
"33",33,33,"Seattle 10th & Weller",2014-06-23,0.56685,26.961,NA,NA,NA,7.6625,NA,NA,NA,65.9583333333333,186.5,NA,NA,3.77083333333333,0,6.44147727272727,0,31.9270833333333,0,25.4349056603774,0,32,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4477,2211,2266,1340,662,678,0,7.6625,26.961,"less"
"34",34,34,"Seattle 10th & Weller",2014-06-24,0.557558333333333,23.3804166666667,NA,NA,NA,5.97083333333333,NA,NA,NA,66.0416666666667,223.208333333333,NA,NA,4.58333333333333,0,6.33589015151515,0,24.8784722222222,0,22.0569968553459,0,25,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4342,2206,2136,1172,596,576,0.06,5.97083333333333,23.3804166666667,"less"
"35",35,35,"Seattle 10th & Weller",2014-06-25,0.54314,23.0715,NA,NA,NA,8.57916666666667,NA,NA,NA,67,270.75,NA,NA,4.2,0,6.17204545454545,0,35.7465277777778,0,21.7655660377358,0,36,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4532,2188,2344,1374,660,714,0,8.57916666666667,23.0715,"less"
"36",36,36,"Seattle 10th & Weller",2014-06-26,0.4967375,22.46,NA,NA,NA,7.05416666666667,NA,NA,NA,63.9583333333333,194,NA,NA,7.375,0,5.64474431818182,0,29.3923611111111,0,21.188679245283,0,29,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3857,1948,1909,1198,578,620,0.06,7.05416666666667,22.46,"less"
"37",37,37,"Seattle 10th & Weller",2014-06-27,0.428665,15.7345,NA,NA,NA,4.1875,NA,NA,NA,62.4166666666667,175.5,NA,NA,7.53333333333333,0,4.87119318181818,0,17.4479166666667,0,14.8438679245283,0,17,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2871,1456,1415,710,352,358,1.19,4.1875,15.7345,"less"
"38",38,38,"Seattle 10th & Weller",2014-06-28,0.416308333333333,13.5004166666667,NA,NA,NA,3.65,NA,NA,NA,62.4166666666667,200.166666666667,NA,NA,9.30833333333333,0,4.73077651515151,0,15.2083333333333,0,12.7362421383648,0,15,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",1780,923,857,549,263,286,3.083333333,3.65,13.5004166666667,"less"
"39",39,39,"Seattle 10th & Weller",2014-06-29,0.479675,16.3641666666667,NA,NA,NA,5.35416666666667,NA,NA,NA,62.4583333333333,207.666666666667,NA,NA,5.2625,0,5.45085227272727,0,22.3090277777778,0,15.437893081761,0,22,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2312,1262,1050,781,380,401,0.03,5.35416666666667,16.3641666666667,"less"
"40",40,40,"Seattle 10th & Weller",2014-06-30,0.42653,14.7105,NA,NA,NA,6.35,NA,NA,NA,65.7083333333333,167.5,NA,NA,5.01666666666667,0,4.84693181818182,0,26.4583333333333,0,13.8778301886792,0,26,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4802,2403,2399,1359,685,674,0,6.35,14.7105,"less"
"41",41,41,"Seattle 10th & Weller",2014-07-01,NA,31.8204166666667,NA,NA,NA,10.5636363636364,NA,NA,NA,75.5833333333333,217.166666666667,NA,NA,4.39583333333333,0,0,0,44.0151515151515,0,30.0192610062893,0,44,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",5147,2646,2501,1467,727,740,0,10.5636363636364,31.8204166666667,"less"
"42",42,42,"Seattle 10th & Weller",2014-07-02,NA,26.6384210526316,NA,NA,NA,9.12916666666667,NA,NA,NA,69.5416666666667,218.458333333333,NA,NA,5.49166666666667,0,0,0,38.0381944444444,0,25.130585898709,0,38,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4742,2313,2429,1395,691,704,0,9.12916666666667,26.6384210526316,"less"
"43",43,43,"Seattle 10th & Weller",2014-07-03,NA,20.2070833333333,NA,NA,NA,4.7,NA,NA,NA,63.375,190.916666666667,NA,NA,5.125,0,0,0,19.5833333333333,0,19.063286163522,0,20,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3759,1864,1895,1060,524,536,0,4.7,20.2070833333333,"less"
"44",44,44,"Seattle 10th & Weller",2014-07-04,NA,14.29,NA,NA,NA,8.32083333333333,NA,NA,NA,63.0833333333333,169.625,NA,NA,4.29166666666667,0,0,0,34.6701388888889,0,13.4811320754717,0,35,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",3284,1545,1739,898,447,451,0,8.32083333333333,14.29,"less"
"45",46,46,"Seattle 10th & Weller",2014-07-06,NA,18.5291666666667,NA,NA,NA,10.2125,NA,NA,NA,70.7083333333333,217.916666666667,NA,NA,4.7875,0,0,0,42.5520833333333,0,17.4803459119497,0,43,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",2882,1577,1305,979,507,472,0,10.2125,18.5291666666667,"less"
"46",47,47,"Seattle 10th & Weller",2014-07-07,NA,13.4785,NA,NA,NA,8.3125,NA,NA,NA,70.625,143.166666666667,NA,NA,4.9,0,0,0,34.6354166666667,0,12.7155660377358,0,35,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",4456,2254,2202,1248,610,638,0,8.3125,13.4785,"less"
"47",48,48,"Seattle 10th & Weller",2014-07-08,NA,17.1833333333333,NA,NA,NA,7.59583333333333,NA,NA,NA,72,192.375,NA,NA,4.50833333333333,0,0,0,31.6493055555556,0,16.2106918238994,0,32,"PM2.5_1hrFEM_SubIndex","PM2.5","Good",5215,2609,2606,1491,718,773,0,7.59583333333333,17.1833333333333,"less"
